Row Label,County,Nola E. Judd,Ken Hays,Ted Miller,Anita L. Ready,Jon Alan Kirshbaum,Bill Lowman,Bryon C. Gunnerson,Timothy Bruce,Brandon Janisse,Jerry Sinn,Ronald Bell,Sue W. Forde,Henning Holmgaard
CARLSBORG 214,CM,128,122,108,87,68,66,88,76,63,106,117,163,36
HAPPY VALLEY 237,CM,86,87,67,50,63,41,47,47,49,85,90,117,28
OLYMPIC 254,CM,105,109,110,67,56,65,53,75,62,102,124,147,42
SUNLAND NORTH 270,CM,148,202,158,108,113,96,98,104,70,196,222,239,54
BLYN 211,CM,130,145,139,80,91,106,104,127,67,116,125,162,51
DUNGENESS EAST 222,CM,160,237,208,96,130,127,154,155,114,195,207,256,60
SUNLAND SOUTH 271,CM,104,124,75,75,81,39,47,58,62,119,147,152,42
PORT WILLIAMS 258,CM,87,127,90,58,51,55,61,73,69,67,101,134,31
MILLER PENINSULA 246,CM,96,103,88,60,76,65,74,81,59,67,66,122,24
ELK 229,CM,43,51,34,33,17,35,29,26,26,25,40,51,15
JAMESTOWN 240,CM,95,115,98,70,69,70,66,82,48,94,107,128,37
EAGLE 226,CM,138,115,111,91,83,75,98,116,80,123,133,196,41
PRAIRIE NORTH 259,CM,155,156,113,86,107,70,112,111,91,159,155,215,59
SEQUIM 406,CM,111,173,145,79,52,92,111,102,69,144,158,169,48
DIAMOND POINT 221,CM,175,163,133,89,123,96,102,132,121,153,121,241,50
COYOTE 218,CM,172,204,168,99,111,110,136,142,98,162,202,229,69
CLINE 217,CM,170,196,172,105,121,106,132,126,91,127,163,214,55
BELL HILL 207,CM,132,190,136,78,108,83,97,96,113,225,213,235,57
PRAIRIE SOUTH 260,CM,146,146,150,85,117,101,102,107,107,126,150,244,54
DUNGENESS WEST 223,CM,82,106,80,57,49,68,64,71,50,89,99,109,24
MACLEAY 247,CM,131,163,132,72,85,97,125,126,75,140,160,211,48
SEQUIM 404,CM,204,239,200,121,147,127,128,138,149,176,199,282,85
SEQUIM 405,CM,117,186,144,71,93,83,90,92,70,120,158,186,41
SEQUIM 402,CM,105,86,78,87,49,55,58,67,46,57,82,150,38
SEQUIM 403,CM,168,173,139,137,115,100,90,118,89,97,153,238,59
SEQUIM 401,CM,88,98,91,58,54,54,58,54,62,71,87,119,43
LOST MOUNTAIN 245,CM,81,112,85,49,66,73,73,74,47,87,101,133,24
RIVERSIDE 265,CM,180,172,134,121,84,120,112,89,111,129,141,219,46
Total,CM,3537,4100,3386,2269,2379,2275,2509,2665,2158,3357,3821,5061,1261
