Row Label,PrecinctCode,County,Registered Voters,David A. Steiner
Total,-1,KI,NULL,3328
BOTHELL 31,10141598,SN,NULL,203
BOTHELL 32,10141599,SN,NULL,154
BOTHELL 33,10141600,SN,NULL,203
BOTHELL 34,10141601,SN,NULL,222
BOTHELL 35,10141602,SN,NULL,174
BOTHELL 36,10141603,SN,NULL,192
BOTHELL 37,10141604,SN,NULL,251
BOTHELL 38,10141605,SN,NULL,194
BOTHELL 39,10141606,SN,NULL,152
BOTHELL 40,10141607,SN,NULL,225
BOTHELL 41,10141608,SN,NULL,229
BOTHELL 42,10141609,SN,NULL,266
BOTHELL 43,10141610,SN,NULL,156
BOTHELL 44,10141611,SN,NULL,166
BOTHELL 45,10141612,SN,NULL,112
BOTHELL 46,10141613,SN,NULL,208
BOTHELL 47,10141644,SN,NULL,221
