Row Label,PrecinctCode,County,Registered Voters,Susan Fagan
Total,-1,AD,NULL,2634
Ritzville Ward #1,111,AD,NULL,78
Ritzville Ward #2,112,AD,NULL,71
Ritzville Ward #3,113,AD,NULL,131
Ritzville Ward #4,114,AD,NULL,101
Ritzville Ward #5,115,AD,NULL,114
Ritzville Rural NW,121,AD,NULL,121
Ritzville Rural SE,122,AD,NULL,101
Batum,123,AD,NULL,66
Benge,211,AD,NULL,20
Washtucna City #1,212,AD,NULL,84
Washtucna Rural,221,AD,NULL,57
Ralston,222,AD,NULL,23
Lind #1,311,AD,NULL,143
Hatton City,313,AD,NULL,15
Lind Rural,321,AD,NULL,55
Fairview,322,AD,NULL,25
Schrag,323,AD,NULL,27
Hatton Rural,324,AD,NULL,26
Cunningham,325,AD,NULL,6
Othello City #1,411,AD,NULL,17
Othello City #2,412,AD,NULL,150
Othello City #3,413,AD,NULL,129
Othello City #4,414,AD,NULL,158
Othello City #5,415,AD,NULL,149
Othello City #6,416,AD,NULL,96
Othello Rural #1,511,AD,NULL,67
Othello Rural #2,512,AD,NULL,85
Othello Rural #3,513,AD,NULL,179
Othello Rural #4,514,AD,NULL,125
Othello Rural #5,515,AD,NULL,78
Othello Rural #6,516,AD,NULL,137
