Row Label,PrecinctCode,County,Registered Voters,Mary Yu
Total,-1,BE,NULL,34899
Hanford 4,96,BE,NULL,0
Hanford 3,97,BE,NULL,0
Hanford 2,98,BE,NULL,0
Hanford 1,99,BE,NULL,0
450,450,BE,NULL,241
455,455,BE,NULL,191
460,460,BE,NULL,170
465,465,BE,NULL,205
470,470,BE,NULL,162
Carley,1020,BE,NULL,0
Onion,1021,BE,NULL,0
Crow Butte,1022,BE,NULL,22
Horse Heaven,1023,BE,NULL,31
Columbia,1060,BE,NULL,0
Black Rock,1061,BE,NULL,1
Expansion,1090,BE,NULL,0
Salmon,1091,BE,NULL,37
Paterson,1240,BE,NULL,13
Roe,1241,BE,NULL,11
Rattlesnake,1290,BE,NULL,40
Ida,1291,BE,NULL,0
Ridge,1292,BE,NULL,0
Reese,1360,BE,NULL,23
Pearson,1362,BE,NULL,3
Sacagawea,1363,BE,NULL,1
Wheat,1364,BE,NULL,0
Tumble Weed,1365,BE,NULL,34
Cook,1400,BE,NULL,12
Dot,1402,BE,NULL,105
McBee,1403,BE,NULL,1
Weidle,1404,BE,NULL,34
Reata,1406,BE,NULL,166
Elk,1407,BE,NULL,0
Griffin,1408,BE,NULL,2
Goose Ridge,1409,BE,NULL,41
Cone,1412,BE,NULL,129
Vineyard,1413,BE,NULL,0
Sunny,1414,BE,NULL,54
Badger,1420,BE,NULL,147
Chandler,1422,BE,NULL,27
W1 - P645,1645,BE,NULL,55
W1 - P646,1646,BE,NULL,73
W1 - P650,1650,BE,NULL,236
W1 - P651,1651,BE,NULL,48
W1 - P655,1655,BE,NULL,125
W1 - P656,1656,BE,NULL,118
W1 - P657,1657,BE,NULL,168
W1 - P660,1660,BE,NULL,203
W1-P663,1663,BE,NULL,165
W1 - P664,1664,BE,NULL,330
W1 - P665,1665,BE,NULL,273
W1 - P667,1667,BE,NULL,107
W1 - P668,1668,BE,NULL,331
W1 - P669,1669,BE,NULL,136
W1 - P670,1670,BE,NULL,192
W1 - P674,1674,BE,NULL,148
W1 - P675,1675,BE,NULL,88
W1 - P676,1676,BE,NULL,301
W1 - P680,1680,BE,NULL,258
W1 - P681,1681,BE,NULL,197
W1 - P682,1682,BE,NULL,302
W1 - P683,1683,BE,NULL,184
W1 - P685,1685,BE,NULL,261
