Row Label,PrecinctCode,County,Registered Voters,Matt Beaton
Total,-1,FR,NULL,11427
Pct 001,1,FR,NULL,169
Pct 002,2,FR,NULL,95
Pct 003,3,FR,NULL,46
Pct 004,4,FR,NULL,72
Pct 005,5,FR,NULL,65
Pct 006,6,FR,NULL,91
Pct 007,7,FR,NULL,83
Pct 008,8,FR,NULL,169
Pct 009,9,FR,NULL,53
Pct 010,10,FR,NULL,99
Pct 011,11,FR,NULL,80
Pct 012,12,FR,NULL,62
Pct 013,13,FR,NULL,63
Pct 014,14,FR,NULL,78
Pct 015,15,FR,NULL,105
Pct 016,16,FR,NULL,16
Pct 017,17,FR,NULL,110
Pct 018,18,FR,NULL,51
Pct 019,19,FR,NULL,138
Pct 020,20,FR,NULL,57
Pct 021,21,FR,NULL,39
Pct 022,22,FR,NULL,145
Pct 023,23,FR,NULL,253
Pct 024,24,FR,NULL,129
Pct 025,25,FR,NULL,50
Pct 026,26,FR,NULL,106
Pct 027,27,FR,NULL,69
Pct 028,28,FR,NULL,64
Pct 029,29,FR,NULL,81
Pct 030,30,FR,NULL,51
Pct 031,31,FR,NULL,57
Pct 032,32,FR,NULL,330
Pct 033,33,FR,NULL,133
Pct 034,34,FR,NULL,195
Pct 035,35,FR,NULL,93
Pct 036,36,FR,NULL,232
Pct 037,37,FR,NULL,247
Pct 038,38,FR,NULL,162
Pct 039,39,FR,NULL,179
Pct 040,40,FR,NULL,164
Pct 041,41,FR,NULL,100
Pct 042,42,FR,NULL,133
Pct 043,43,FR,NULL,147
Pct 044,44,FR,NULL,152
Pct 045,45,FR,NULL,210
Pct 046,46,FR,NULL,236
Pct 047,47,FR,NULL,25
Pct 048,48,FR,NULL,185
Pct 049,49,FR,NULL,195
Pct 050,50,FR,NULL,196
Pct 051,51,FR,NULL,197
Pct 052,52,FR,NULL,49
Pct 053,53,FR,NULL,154
Pct 054,54,FR,NULL,82
Pct 055,55,FR,NULL,264
Pct 056,56,FR,NULL,139
Pct 057,57,FR,NULL,151
Pct 058,58,FR,NULL,18
Pct 059,59,FR,NULL,239
Pct 060,60,FR,NULL,81
Pct 061,61,FR,NULL,231
Pct 062,62,FR,NULL,277
Pct 063,63,FR,NULL,168
Pct 064,64,FR,NULL,168
Pct 065,65,FR,NULL,81
Pct 066,66,FR,NULL,229
Pct 067,67,FR,NULL,163
Pct 068,68,FR,NULL,11
Pct 069,69,FR,NULL,31
Pct 070,70,FR,NULL,50
Pct 071,71,FR,NULL,140
Pct 072,72,FR,NULL,117
Pct 073,73,FR,NULL,210
Pct 074,74,FR,NULL,188
Pct 075,75,FR,NULL,39
Pct 076,76,FR,NULL,78
Pct 077,77,FR,NULL,49
Pct 078,78,FR,NULL,71
Pct 079,79,FR,NULL,103
Pct 080,80,FR,NULL,238
Pct 081,81,FR,NULL,65
Pct 082,82,FR,NULL,92
Pct 083,83,FR,NULL,80
Pct 084,84,FR,NULL,39
Pct 085,85,FR,NULL,35
Pct 086,86,FR,NULL,66
Pct 087,87,FR,NULL,56
Pct 088,88,FR,NULL,33
Pct 089,89,FR,NULL,107
Pct 090,90,FR,NULL,134
Pct 091,91,FR,NULL,8
Pct 092,92,FR,NULL,113
Pct 093,93,FR,NULL,133
Pct 094,94,FR,NULL,0
Pct 095,95,FR,NULL,56
Pct 096,96,FR,NULL,70
Pct 097,97,FR,NULL,40
Pct 098,98,FR,NULL,21
Pct 099,99,FR,NULL,26
Pct 100,100,FR,NULL,81
Pct 101,101,FR,NULL,96
