Row Label,PrecinctCode,County,Registered Voters,Marilyn G. Paja
REGAL 131,100131,KP,NULL,91
FAIRVIEW 135,100135,KP,NULL,191
FIRGLADE 137,100137,KP,NULL,219
TIBARDIS 139,100139,KP,NULL,156
GILBERTON 140,100140,KP,NULL,274
RIDGEPOINT 141,100141,KP,NULL,246
UNIVERSITY POINT 142,100142,KP,NULL,229
KARIOTIS 143,100143,KP,NULL,344
CAMBRIDGE 144,100144,KP,NULL,223
SPINNAKER 146,100146,KP,NULL,239
BARKER CREEK 147,100147,KP,NULL,388
SANTA FE 148,100148,KP,NULL,298
RIDGETOP 149,100149,KP,NULL,255
MEADOWDALE 150,100150,KP,NULL,235
SYMINGTON 151,100151,KP,NULL,171
PIONEER 152,100152,KP,NULL,371
LARSON 153,100153,KP,NULL,395
SEABECK 155,100155,KP,NULL,415
LOST HIGHWAY 157,100157,KP,NULL,332
HOLLY 158,100158,KP,NULL,98
BREMERTON 159,100159,KP,NULL,183
SILVERDALE 160,100160,KP,NULL,345
MORKEN 161,100161,KP,NULL,434
APEX 162,100162,KP,NULL,360
ANDERSON CREEK 163,100163,KP,NULL,263
EAGLE CREST 164,100164,KP,NULL,390
SUTTON 165,100165,KP,NULL,213
TRACYTON 170,100170,KP,NULL,228
VENA 173,100173,KP,NULL,301
FUSON 175,100175,KP,NULL,322
PORT ORCHARD 200,100200,KP,NULL,170
PORT ORCHARD 201,100201,KP,NULL,279
PORT ORCHARD 202,100202,KP,NULL,379
PORT ORCHARD 203,100203,KP,NULL,177
PORT ORCHARD 204,100204,KP,NULL,264
PORT ORCHARD 205,100205,KP,NULL,680
PORT ORCHARD 206,100206,KP,NULL,0
PORT ORCHARD 207,100207,KP,NULL,314
PORT ORCHARD 208,100208,KP,NULL,0
PORT ORCHARD 209,100209,KP,NULL,0
PORT ORCHARD 210,100210,KP,NULL,228
CEDAR 211,100211,KP,NULL,309
ANNAPOLIS 212,100212,KP,NULL,414
BRASCH 213,100213,KP,NULL,352
LAKE HELENA 214,100214,KP,NULL,296
PORT ORCHARD 215,100215,KP,NULL,0
MINTERBROOK 216,100216,KP,NULL,161
SPRING CREEK 217,100217,KP,NULL,236
BURLEY 218,100218,KP,NULL,311
HUNTER 219,100219,KP,NULL,251
ALASKA 221,100221,KP,NULL,390
WOODRIDGE 222,100222,KP,NULL,185
NEBRASKA 223,100223,KP,NULL,322
WHISPERING PINES 227,100227,KP,NULL,343
FERNWOOD 230,100230,KP,NULL,365
GLENWOOD 232,100232,KP,NULL,408
HARPER 240,100240,KP,NULL,284
YUKON 241,100241,KP,NULL,229
WILSON CREEK 242,100242,KP,NULL,268
LONG LAKE 245,100245,KP,NULL,206
LOCKER 246,100246,KP,NULL,396
EBBERT 247,100247,KP,NULL,346
LUNDBERG 250,100250,KP,NULL,362
CONVERSE 252,100252,KP,NULL,301
MANCHESTER 255,100255,KP,NULL,273
EVERGREEN 257,100257,KP,NULL,457
WILLOCK 258,100258,KP,NULL,268
FRAGARIA 259,100259,KP,NULL,252
MULLENIX 260,100260,KP,NULL,385
BANDIX 263,100263,KP,NULL,313
OLALLA 265,100265,KP,NULL,225
CRESCENT VALLEY 266,100266,KP,NULL,309
OVERLOOK 267,100267,KP,NULL,290
MADRONA 269,100269,KP,NULL,270
PARKWOOD 270,100270,KP,NULL,389
CONIFER 271,100271,KP,NULL,195
SEDGWICK 272,100272,KP,NULL,394
SINCLAIR 275,100275,KP,NULL,162
SHERMAN HEIGHTS 278,100278,KP,NULL,8
BERRY LAKE 279,100279,KP,NULL,202
BELFAIR VALLEY 280,100280,KP,NULL,102
SUNNYSLOPE 281,100281,KP,NULL,265
DICKENSON 282,100282,KP,NULL,326
DRIVE-IN 283,100283,KP,NULL,7
TWIN LAKES 285,100285,KP,NULL,90
LIGHTHOUSE POINT 292,100292,KP,NULL,357
BREMERTON 293,100293,KP,NULL,2
BREMERTON 294,100294,KP,NULL,0
WATERMAN 295,100295,KP,NULL,193
BREMERTON 296,100296,KP,NULL,0
HEINS CREEK 297,100297,KP,NULL,0
BLUE HERON 301,100301,KP,NULL,455
AZALEA 302,100302,KP,NULL,370
WINSLOW 304,100304,KP,NULL,520
WING POINT 305,100305,KP,NULL,242
BLAKELY 310,100310,KP,NULL,262
CRYSTAL SPRINGS 312,100312,KP,NULL,409
FINCH 314,100314,KP,NULL,218
FERNCLIFF 315,100315,KP,NULL,460
EAGLE HARBOR 317,100317,KP,NULL,230
FORT WARD 318,100318,KP,NULL,315
ISLAND CENTER 320,100320,KP,NULL,298
MEADOWMEER 321,100321,KP,NULL,140
NEW BROOKLYN 322,100322,KP,NULL,198
LIBERTY 325,100325,KP,NULL,277
SKIFF POINT 328,100328,KP,NULL,268
ROLLING BAY 330,100330,KP,NULL,287
LOVGREN 332,100332,KP,NULL,182
TOLO 333,100333,KP,NULL,269
SEABOLD 335,100335,KP,NULL,361
MANZANITA 336,100336,KP,NULL,206
PORT MADISON 340,100340,KP,NULL,264
TORVANGER 345,100345,KP,NULL,351
POULSBO 401,100401,KP,NULL,447
POULSBO 403,100403,KP,NULL,306
POULSBO 404,100404,KP,NULL,372
POULSBO 405,100405,KP,NULL,347
POULSBO 406,100406,KP,NULL,411
POULSBO 407,100407,KP,NULL,270
BREIDABLIK 410,100410,KP,NULL,339
VINLAND 412,100412,KP,NULL,374
BELLA VISTA 413,100413,KP,NULL,245
HANSVILLE 415,100415,KP,NULL,189
POINT NO POINT 416,100416,KP,NULL,456
TWIN SPITS 417,100417,KP,NULL,347
S&#39;KLALLAM 418,100418,KP,NULL,34
POINT JEFFERSON 419,100419,KP,NULL,238
INDIANOLA 420,100420,KP,NULL,403
ORCA 421,100421,KP,NULL,232
APPLE TREE 422,100422,KP,NULL,360
HIGHLAND 423,100423,KP,NULL,178
KEYPORT 425,100425,KP,NULL,393
EVERGREEN RIDGE 426,100426,KP,NULL,134
ISLAND LAKE 427,100427,KP,NULL,313
KINGSTON 430,100430,KP,NULL,475
LEMOLO 435,100435,KP,NULL,266
LINCOLN 440,100440,KP,NULL,256
BIG VALLEY 441,100441,KP,NULL,214
LOFALL 442,100442,KP,NULL,448
PEARSON 445,100445,KP,NULL,429
PORT GAMBLE 450,100450,KP,NULL,315
STRIEBEL 453,100453,KP,NULL,276
GAMBLEWOOD 454,100454,KP,NULL,211
SCANDIA 455,100455,KP,NULL,318
MILLER BAY 458,100458,KP,NULL,371
SUQUAMISH 460,100460,KP,NULL,261
AUGUSTA 461,100461,KP,NULL,205
TOTTEN 463,100463,KP,NULL,284
SANDY HOOK 464,100464,KP,NULL,227
